"idPsa","rasa","wiek","płeć","liczba zdobytych medali","idWlasciciela"
"1","wyżeł węgierski krótkowłosy","4","samica","1","59"
"2","owczarek niemiecki","2","samica","2","64"
"3","chihuahua","3","samiec","4","97"
"4","terier walijski","5","samica","2","37"
"5","foksterier krótkowłosy","2","samiec","1","178"
"6","wyżeł niemiecki długowłosy","3","samiec","2","123"
"7","jamnik krótkowłosy","2","samiec","2","110"
"8","pudel duży","3","samiec","2","165"
"9","jamnik szorstkowłosy","3","samica","1","192"
"10","szpic włoski","5","samiec","1","64"
"11","jamnik długowłosy","3","samica","0","105"
"12","dalmatyńczyk","1","samica","1","188"
"13","owczarek podhalański","1","samica","2","174"
"14","wyżeł niemiecki długowłosy","5","samica","3","14"
"15","cocker spaniel angielski","1","samiec","2","177"
"16","bernardyn krótkowłosy","1","samiec","2","74"
"17","buldog angielski","2","samica","0","170"
"18","buldog francuski","3","samiec","3","130"
"19","alaskan malamute","2","samica","4","68"
"20","bernardyn krótkowłosy","2","samica","3","38"
"21","chart hiszpański","1","samiec","4","50"
"22","szpic miniaturowy","4","samiec","1","10"
"23","komondor","3","samica","1","105"
"24","szpic niemiecki","5","samiec","3","168"
"25","owczarek szetlandzki","4","samica","4","62"
"26","chart perski","1","samica","2","185"
"27","terier szkocki","1","samica","3","104"
"28","chart hiszpański","1","samica","2","155"
"29","terier szkocki","2","samiec","1","96"
"30","bernardyn długowłosy","3","samica","3","87"
"31","wyżeł niemiecki szorstkowłosy","3","samiec","2","56"
"32","dalmatyńczyk","3","samica","4","23"
"33","owczarek szkocki długowłosy","5","samica","4","182"
"34","wyżeł włoski szorstkowłosy","1","samica","0","178"
"35","jamnik krótkowłosy","4","samiec","2","198"
"36","owczarek kaukaski","4","samica","4","95"
"37","komondor","4","samiec","4","109"
"38","owczarek szetlandzki","4","samiec","1","143"
"39","doberman","3","samiec","2","14"
"40","owczarek holenderski","5","samica","2","57"
"41","terier irlandzki","4","samica","3","162"
"42","sznaucer miniaturowy","4","samiec","2","7"
"43","owczarek kataloński","5","samica","4","77"
"44","owczarek kaukaski","1","samica","0","111"
"45","pekińczyk","1","samica","3","104"
"46","chart rosyjski","2","samica","2","98"
"47","chart perski","4","samica","1","166"
"48","owczarek niemiecki","3","samica","1","44"
"49","szpic włoski","2","samica","1","125"
"50","szpic włoski","5","samiec","1","138"
"51","wyżeł niemiecki krótkowłosy","1","samiec","4","70"
"52","szpic miniaturowy","3","samiec","1","130"
"53","alaskan malamute","3","samica","4","137"
"54","pudel miniaturowy","1","samiec","3","4"
"55","chart rosyjski","1","samica","0","111"
"56","wyżeł niemiecki długowłosy","5","samiec","4","78"
"57","bernardyn długowłosy","3","samiec","1","20"
"58","wyżeł włoski szorstkowłosy","2","samiec","1","145"
"59","dog niemiecki","1","samica","0","160"
"60","bernardyn długowłosy","1","samiec","0","82"
"61","dog argentyński","5","samica","1","12"
"62","owczarek kraski","4","samiec","1","64"
"63","wyżeł włoski szorstkowłosy","3","samica","3","86"
"64","labrador retriever","3","samiec","3","86"
"65","owczarek szkocki krótkowłosy","5","samiec","3","21"
"66","chart polski","4","samica","3","18"
"67","chart afgański","5","samiec","0","28"
"68","dog kanaryjski","5","samica","2","134"
"69","buldog francuski","5","samica","0","22"
"70","pudel miniaturowy","1","samiec","3","65"
"71","chart szkocki","5","samica","0","182"
"72","chart perski","2","samiec","3","10"
"73","chart szkocki","1","samica","3","22"
"74","rottweiler","5","samica","2","43"
"75","owczarek kaukaski","4","samica","3","87"
"76","owczarek szkocki krótkowłosy","1","samiec","1","50"
"77","doberman","5","samica","1","167"
"78","pudel miniaturowy","2","samica","0","163"
"79","sznaucer miniaturowy","2","samiec","3","149"
"80","chart hiszpański","2","samica","0","171"
"81","chart hiszpański","3","samiec","0","37"
"82","sznaucer miniaturowy","1","samiec","0","25"
"83","mops","5","samica","2","138"
"84","dog niemiecki","4","samica","4","66"
"85","owczarek szkocki długowłosy","3","samiec","3","166"
"86","jamnik krótkowłosy","1","samiec","0","68"
"87","wyżeł niemiecki długowłosy","2","samiec","0","13"
"88","szpic niemiecki","2","samica","0","62"
"89","labrador retriever","3","samica","4","121"
"90","szpic włoski","2","samiec","4","124"
"91","buldog angielski","3","samica","4","175"
"92","jamnik krótkowłosy","2","samiec","4","91"
"93","terier szkocki","4","samica","0","10"
"94","doberman","3","samica","4","1"
"95","dog argentyński","5","samica","4","116"
